station_name,county,lat,lon,rain_3days,predicted_risk,risk_score,ground_truth
九份二山,南投縣,23.962025,120.845272,48.5,0,0.006666666666666667,0
基隆,基隆市,25.133314,121.740475,30.0,0,0.0,0
淡水,新北市,25.164889,121.448906,67.5,0,0.006666666666666667,0
新北,新北市,24.959207,121.525196,102.0,0,0.016666666666666666,1
陽明山,臺北市,25.162078,121.544547,199.5,1,0.5133333333333333,1
鞍部,臺北市,25.182586,121.529731,205.5,1,0.5166666666666667,1
新竹,新竹縣,24.828575,121.01455,174.5,0,0.09333333333333334,1
臺中,臺中市,24.145736,120.684075,62.0,0,0.0,0
澎湖,澎湖縣,23.565503,119.563094,0.0,0,0.0,0
日月潭,南投縣,23.881325,120.90805,29.5,0,0.0033333333333333335,0
阿里山,嘉義縣,23.508208,120.813242,134.5,0,0.09666666666666666,1
玉山,南投縣,23.48718,120.95943,97.5,0,0.02,0
嘉義,嘉義市,23.495925,120.432906,2.5,0,0.0,0
臺南,臺南市,22.99328,120.20492,0.0,0,0.0,0
高雄,高雄市,22.730432,120.312516,21.5,0,0.006666666666666667,0
恆春,屏東縣,22.003897,120.746339,47.0,0,0.006666666666666667,0
宜蘭,宜蘭縣,24.763975,121.756528,28.5,0,0.006666666666666667,0
花蓮,花蓮縣,23.975128,121.613275,9.5,0,0.0,0
成功,臺東縣,23.097486,121.373428,0.0,0,0.0,0
臺東,臺東縣,22.752211,121.154586,0.5,0,0.0033333333333333335,0
大武,臺東縣,22.35572,120.90374,20.0,0,0.006666666666666667,0
蘭嶼,臺東縣,22.0369,121.55843,55.0,0,0.006666666666666667,0
彭佳嶼,基隆市,25.627975,122.079744,116.0,0,0.02666666666666667,1
東吉島,澎湖縣,23.25727,119.66762,0.0,0,0.0,0
東沙島,高雄市,20.700856,116.73,0.0,0,0.0,0
永康,臺南市,23.038386,120.2367,0.0,0,0.0,0
金門(東),金門縣,24.448431,118.451786,0.0,0,0.0,0
武陵,臺中市,24.352825,121.308286,29.0,0,0.0,0
臺北,臺北市,25.037658,121.514853,91.0,0,0.01,0
彰師大,彰化縣,24.081389,120.556667,19.5,0,0.0,0
合歡山,花蓮縣,24.143186,121.284231,164.5,0,0.47,1
金門,金門縣,24.407306,118.289281,0.0,0,0.0,0
馬祖,連江縣,26.169467,119.923158,6.0,0,0.006666666666666667,0
